id	type	folder	width	height	size_x	size_y
1185	Backpack	Dufflebag_Orange	7	4	2	2
1186	Backpack	Dufflebag_Purple	7	4	2	2
1187	Backpack	Dufflebag_Red	7	4	2	2
1188	Backpack	Dufflebag_White	7	4	2	2
1189	Backpack	Dufflebag_Yellow	7	4	2	2
1199	Glasses	Headlamp	0	0	2	1
1270	Mask	Gasmask	0	0	2	2
1333	Shirt	Military_Top_Russia	6	3	3	2
1334	Pants	Military_Bottom_Russia	4	3	2	2
1335	Hat	Military_Helmet_Russia	0	0	2	2
1336	Vest	Military_Vest_Russia	5	4	2	2
1354	Shirt	Ghillie_Top_Russia	4	2	3	2
1355	Pants	Ghillie_Bottom_Russia	4	2	2	2
1356	Hat	Ghillie_Hood_Russia	0	0	2	2
1357	Vest	Ghillie_Vest_Russia	4	3	2	2
1358	Shirt	Pilot_Top	5	3	3	2
1359	Hat	Pilot_Cap	0	0	2	2
1385	Hat	Fedora_Mafia	0	0	2	2
1386	Shirt	Tuxedo_Top_Mafia	5	3	3	2
1387	Pants	Tuxedo_Bottom_Mafia	4	3	2	2
1388	Hat	Beret_Russia	0	0	2	2
1389	Hat	Beret_Spec_Ops	0	0	2	2
1391	Shirt	Tracksuit_Top	5	2	3	2
1392	Pants	Tracksuit_Bottom	5	3	2	2
1419	Pants	Coalition_Bottom	4	3	2	2
1420	Shirt	Coalition_Top_Ensign	6	3	3	2
1421	Shirt	Coalition_Top_Lieutenant	6	3	3	2
1422	Shirt	Coalition_Top_Major	6	3	3	2
1423	Shirt	Coalition_Top_Commander	6	3	3	2
1424	Shirt	Coalition_Top_Captain	6	3	3	2
1425	Vest	Coalition_Vest	5	4	2	2
1426	Hat	Cap_Coalition	0	0	2	2
1427	Hat	Coalition_Helmet	0	0	2	2
1428	Hat	Coalition_Beret	0	0	2	2
1429	Hat	Coalition_Captain_Hat	0	0	2	2
1446	Mask	Earpiece	0	0	1	1
1454	Pants	Trunks_Black	5	2	2	2
1455	Pants	Trunks_Blue	5	2	2	2
1456	Pants	Trunks_Green	5	2	2	2
1457	Pants	Trunks_Orange	5	2	2	2
1458	Pants	Trunks_Purple	5	2	2	2
1459	Pants	Trunks_Red	5	2	2	2
1460	Pants	Trunks_White	5	2	2	2
1461	Pants	Trunks_Yellow	5	2	2	2
1462	Shirt	Coastguard_Top	6	3	3	2
1463	Pants	Coastguard_Bottom	4	3	2	2
1464	Glasses	Blindfold	0	0	2	1
1472	Hat	Fighter_Jet_Hat	0	0	2	2
1473	Shirt	Fighter_Jet_Top	6	3	3	2
1474	Pants	Fighter_Jet_Bottom	4	3	2	2
1491	Shirt	Military_Top_German	6	3	3	2
1492	Shirt	Ghillie_Top_Peaks	4	2	3	2
1493	Pants	Ghillie_Bottom_Peaks	4	2	2	2
1494	Hat	Ghillie_Hood_Peaks	0	0	2	2
1495	Vest	Ghillie_Vest_Peaks	4	3	2	2
1496	Backpack	Shark_Fin	0	0	2	2
1497	Vest	Ducky	0	0	1	1
1498	Shirt	Lederhosen_Top	5	2	3	2
1499	Pants	Lederhosen_Bottom	5	2	2	2
1501	Shirt	Tee_EA	0	0	3	2
1502	Hat	Beret_EA	0	0	2	2
1504	Hat	Pickelhaube	0	0	2	2
1505	Shirt	Kaiser_Top	6	3	3	2
1506	Pants	Kaiser_Bottom	5	3	2	2
1511	Backpack	Alicepack_Arctic	8	7	2	2
1512	Shirt	Ghillie_Top_Arctic	4	2	3	2
1513	Pants	Ghillie_Bottom_Arctic	4	2	2	2
1514	Vest	Ghillie_Vest_Arctic	4	3	2	2
1515	Hat	Ghillie_Hood_Arctic	0	0	2	2
1516	Shirt	Military_Top_Arctic	6	3	3	2
1517	Pants	Military_Bottom_Arctic	4	3	2	2
1518	Vest	Military_Vest_Arctic	5	4	2	2
1519	Hat	Military_Helmet_Arctic	0	0	2	2
1522	Shirt	CharacterMeshReplacementTest	0	0	2	2
1523	Shirt	Hoodie_Offbrand	0	0	3	2
1525	Hat	Military_Helmet_Spec_Ops	0	0	2	2
1526	Shirt	BelgiumLilEBR_Shirt	0	0	3	2
1527	Pants	BelgiumLilEBR_Pants	0	0	2	2
1528	Backpack	BelgiumInfantry_Backpack	0	0	2	2
1529	Vest	BelgiumInfantry_Vest	0	0	2	2
1530	Hat	BelgiumInfantry_Hat	0	0	2	2
1531	Shirt	BelgiumInfantry_Shirt	0	0	3	2
1532	Pants	BelgiumInfantry_Pants	0	0	2	2
1533	Backpack	BelgiumAcid_Canister	0	0	2	2
1534	Vest	BelgiumAcid_Vest	0	0	2	2
1535	Mask	BelgiumAcid_Visor	0	0	2	2
1536	Shirt	BelgiumAcid_Shirt	0	0	3	2
1537	Pants	BelgiumAcid_Pants	0	0	2	2
1543	Shirt	BelgiumPoacher_Top	0	0	3	2
1544	Pants	BelgiumPoacher_Bottom	0	0	2	2
1545	Hat	BelgiumPoacher_Hat	0	0	2	2
1546	Vest	BelgiumPoacher_Ascot	0	0	2	1
1547	Backpack	BelgiumPoacher_Backpack	0	0	2	2
1553	Backpack	Candyland_Cottontail_Ops_Tail	0	0	2	2
1554	Backpack	Candyland_Ranger_Rootbeer_Rocket	0	0	2	2
1555	Hat	Candyland_Cottontail_Ops_Ears	0	0	2	2
1556	Hat	Candyland_Cottontail_Ops_Helmet	0	0	2	2
1557	Hat	Candyland_Ranger_Rootbeer_Hat	0	0	2	2
1558	Mask	Candyland_Cottontail_Ops_Bandana	0	0	2	2
1559	Mask	Candyland_Ranger_Rootbeer_Breather	0	0	2	2
1560	Pants	Candyland_Cottontail_Ops_Bottom	0	0	2	2
1561	Pants	Candyland_Ranger_Rootbeer_Bottom	0	0	2	2
1562	Shirt	Candyland_Cottontail_Ops_Top	0	0	3	2
1563	Shirt	Candyland_Ranger_Rootbeer_Top	0	0	3	2
1564	Vest	Candyland_Cottontail_Ops_Vest	0	0	2	2
1565	Vest	Candyland_Ranger_Rootbeer_Holsters	0	0	2	2
1566	Hat	Rio_Guard_Hat	0	0	2	2
1567	Mask	Rio_Vacc_Hat	0	0	2	2
1568	Vest	Rio_Guard_Sash	0	0	2	1
1569	Vest	Rio_Vacc_Vest	0	0	2	2
1570	Shirt	Rio_Guard_Top	0	0	3	2
1571	Shirt	Rio_Vacc_Top	0	0	3	2
1572	Pants	Rio_Guard_Bottom	0	0	2	2
1573	Pants	Rio_Vacc_Bottom	0	0	2	2
1574	Vest	Rio_Tamer_Bird	0	0	1	1
1575	Vest	Rio_Tamer_Vest	0	0	2	2
1576	Backpack	Rio_Tamer_Cage	0	0	2	2
1577	Pants	Rio_Tamer_Bottom	0	0	2	2
1578	Shirt	Rio_Tamer_Top	0	0	3	2
1640	Hat	P9nda_Hat	0	0	2	2
1641	Hat	Beret_Orange_Double	0	0	2	2
1642	Hat	Beret_Orange_Triple	0	0	2	2
1689	Vest	ChefZombiePlush	0	0	1	1
1690	Backpack	Butterfly	0	0	2	2
1732	Hat	XMAS_Bow	0	0	2	2
1733	Hat	XMAS_Took	0	0	2	2
1734	Vest	XMAS_Bandolier	5	4	2	2
1735	Vest	XMAS_Belt	5	4	2	2
1736	Vest	BiohazardZombiePlush	0	0	1	1
1763	Glasses	Monocle_Platinum	0	0	1	1
1771	Backpack	Turtle_Backpack	0	0	2	2
1772	Vest	Penguin_Companion	0	0	1	1
1773	Vest	Crab_Companion	0	0	1	1
1839	Pants	SpringLoadedBoots	4	2	2	2
